Policy,GPE,LOC,ORG,FAC,MISC
"Policy AG/LU-112: Figure AG/LU-3 Land Use Map depicts the land use policy of the County of Napa. The standards shown or contained in this Land Use Element shall apply to the land use categories shown on the Land Use Map. All discretionary approvals shall be in conformance with these standards unless explicitly stated otherwise in this General Plan and the conversion of existing parcels or buildings into condominium projects or stock cooperatives shall be fully subject to all policies and objectives of this General Plan. Napa County General Plan June 23, 2009 AG/LU–66",the County of Napa,,"Policy AG/LU-112, AG, AG",,
"Policy AG/LU-113: The Land Use Map is presented as a general illustration of the policies of the General Plan and is not intended to reflect every policy direction. Specific review of applicable policies is necessary to determine the precise land use potential of any site. Further, the information shown on the map is not intended to be parcel-specific and should not be interpreted as such. Information should be interpreted at a printed or displayed scale of one inch = 1,000 feet to ensure that the intended level of specificity is maintained.",,,Policy AG,,
"Policy AG/LU-114: Zoning shall be consistent with this General Plan. In areas where the zoning and the land use designation shown on the Land Use Map are not identical, rezoning is desirable but not mandated, since consistency is achieved by reviewing the stated policies of the General Plan in addition to the Land Use Map. Table AG/LU-B shall be used to determine consistency for rezoning applications. TABLE AG/LU-B: GENERAL PLAN & ZONING: FOR USE IN CONSIDERING CHANGES IN ZONING General Plan Land Use Category Appropriate Zoning Designations RC-Residential Country RS-Residential Single RM-Residential Multiple Urban Residential RD-Residential Double PD-Planned Development CL-Commercial Limited CN-Commercial Neighborhood Rural Residential RC-Residential Country Study area properties shall be subject to site-specific Study Area planning prior to rezoning. IP-Industrial Park Industrial I-Industrial GI-General Industrial AV-Airport Public-Institutional PL-Public Lands AW-Agricultural Watershed Agriculture, Watershed, and Open Space TP-Timberland Preserve Agricultural Resource AP-Agricultural Preserve NP-MUR-W - Napa Pipe Mixed Use Residential Waterfront NP-IBP-W - Napa Pipe Industrial/Business Park Waterfront Napa Pipe Mixed Use NP-IBP - Napa Pipe Industrial/Business Park I - Industrial In addition to the zones listed above, AW-Agricultural Watershed uses and/or zoning may occur in any land use designation. Note: Multiple additional zoning designations currently exist within each General Plan Land Use Category and may remain in place. This table is not intended to constrain the legal use of property consistent with both zoning and General Plan Land Use Category. Also, in the Deer Park Rural Residential area, rezoning from residential districts shall be permitted to achieve minimum parcel sizes consistent with Policy AG/LU- 35, and to develop, improve, and expand hospital related facilities through either expansion of the Planned Development zoning district or a future healthcare related zoning district that shall be deemed consistent with the Deer Park Rural Residential area. On parcel 049-160-009 in the Monticello Road area ,rezoning to RS may be allowed consistent with Policy AG/LU-35. June 23, 2009 Napa County General Plan AG/LU–67",,"Study Area, Monticello Road","Policy AG, TABLE AG, NP, Policy AG, Planned Development, the Deer Park Rural Residential, Policy AG/LU-35, Napa County General Plan AG",,
"Policy AG/LU-115: The County will seek to work cooperatively with the private and non-profit sectors, municipalities, special districts, and other local, state, and federal agencies to plan for services and facilities such as housing, transportation, economic development, parks and recreation, open space, and other County needs. Collaborative efforts will be aimed at furthering the goals and policies contained in this Agricultural Preservation and Land Use Element and other elements of the General Plan.",,,"Policy AG, this Agricultural Preservation and Land Use Element",,
"Policy AG/LU-116: The County will seek to work cooperatively with the municipalities, special districts, and Local Agency Formation Commission to define and establish the limits of current and future urban expansion and development. Unincorporated land included within the Rural Urban Limit Line of the 1983 Napa City General Plan will not be further urbanized without annexation to the City, except that child care centers and schools will be allowed inside the RUL.",,,"Policy AG, Local Agency Formation Commission, the Rural Urban Limit Line, Napa City General Plan",,
"Policy AG/LU-117: The County shall seek to be involved to the extent possible in the decisions of local, state, federal, and other agencies regarding the location of energy generation facilities, electrical transmission lines, communications towers, water tanks, or other facilities with the potential to negatively affect the visual character of the county. CODE ENFORCEMENT",,,Policy AG,,
"Policy AG/LU-118: The County is committed to maintaining the quality of life in Napa County through enforcing regulations and codes. The County shall uniformly and fairly enforce codes and regulations, and shall assign high priority to abatement of violations that may constitute potential threats to public health or safety or that may cause significant environmental damage. GROWTH MANAGEMENT",Napa County,,Policy AG,,
"Policy AG/LU-119: The following is the Growth Management System for Napa County: 1) Introduction The Growth Management System Element of the Napa County General Plan was adopted as required by Slow Growth Initiative Measure A, approved by the voters in 1980. The Board of Supervisors made the implementation of Measure A a matter of high priority. The Conservation, Development and Planning Department was given primary responsibility to prepare a Growth Management System which satisfied both the intent and letter of Measure A, while at the same time limiting government controls. Before expiration of Measure A in December 2000, the Board of Supervisors reaffirmed the policies of Measure A and the establishment of a housing allocation program, when it passed Ordinance No. 1178 on November 28, 2000. The Growth Management System Element was combined with the Agricultural Preservation & Land Use Element in the 2008 General Plan Update, and the Growth Management System was simplified in 2009 concurrent with adoption of the 2009 Housing Element Update. June 23, 2009 Napa County General Plan AG/LU–73",Napa County,,"Policy AG, the Growth Management System for, The Growth Management System Element, the Napa County General Plan, Slow Growth Initiative Measure A, The Board of Supervisors, The Conservation, Development and Planning Department, Growth Management System, Measure A, Measure A, the Board of Supervisors, Measure A, The Growth Management System Element, the Agricultural Preservation & Land Use Element, the Growth Management System, Housing Element Update, Napa County General Plan AG/LU–73",,
Policy AG/LU-120: The County shall work with the school districts serving students in the County to coordinate the provision of school facilities in conjunction with demographic changes and student populations. The County shall also encourage incorporated jurisdictions to reserve school sites within their boundaries.,,,Policy AG,,
Policy AG/LU-121: The County shall coordinate an exchange of information with the school districts regarding school needs and new residential developments in the unincorporated area.,,,Policy AG,,
"Policy AG/LU-122: The County shall consider school districts’ proposed school sites in relation to: a) General Plan designations. b) Geology and seismic considerations, topography, drainage, soils. c) Location and general utility of land; population distribution. d) Access, transportation facilities, utilities. e) Conflicting or hazardous conditions (e.g., noise, traffic). f) Protection of agricultural lands. The results of the review are to be forwarded to the appropriate school district board within 30 days from the receipt of the referral.",,,Policy AG,,
"Policy AG/LU-123: The County shall establish general school site location criteria such as: a) New school facilities shall not be located within two miles of an airport unless approved by the State Department of Education. b) School facilities shall, whenever practical, be located in areas designated in the appropriate general plan for urban development. c) Coordinate County plans and ordinances to be supportive of school use and to minimize the need for busing students. d) Ensure that proposals for multi-family housing or multiple-lot subdivisions within the unincorporated area are evaluated to determine their impact on schools and are modified to address potential impacts, including the need for new facilities, if any.",Coordinate County,,"Policy AG, the State Department of Education",,
"Policy AG/LU-124: New churches or institutions providing religious instruction shall not be located within proximity to an airport, unless they are located in an area where residential uses would be compatible under the applicable Airport Land Use Compatibility Plan. June 23, 2009 Napa County General Plan AG/LU–77",,,"Policy AG, Napa County General Plan AG",Airport Land Use Compatibility Plan,
"Policy AG/LU-125: New churches or other religious institutions should generally be located within or adjacent to urbanized areas, minimizing the transportation needs of parishioners/members and the potential for loss of agricultural lands. Action Item AG/LU-125.1: Consider amendments to the Zoning Code that would reduce the number of zoning districts in which new churches and religious institutions may be located and provide siting criteria as part of the use permit process. REGIONAL PLANNING ISSUES",,,Policy AG,,
"Policy AG/LU-126: State law charges LAFCO with planning the orderly development of local government agencies to advantageously provide for the present and future needs of the community while protecting against the inappropriate conversion of agricultural and open space lands. A principal planning responsibility of LAFCO is to determine a sphere of influence for each city and special district under its jurisdiction. State law defines a sphere of influence as “a plan for the probably physical boundaries and service area of a local agency, as determined by” LAFCO. LAFCO is required to review and update, as necessary, each agency’s sphere of influence every five years, and the County will work collaboratively with LAFCO in its reviews of spheres to encourage orderly, city-centered growth and development in Napa County and the preservation of agricultural land. Policy AG/LU-126.5: The County seeks to engage incorporated jurisdictions and other agencies in collaborative planning efforts, particularly efforts aimed at ensuring adequate infrastructure capacity, vibrant city-centers, sufficient housing and agricultural lands and natural resource protection.","LAFCO, Napa County",,"Policy AG, AG",,
Policy AG/LU-127: The County will coordinate with the cities and town to establish land use policies for unincorporated lands located within their respective spheres of influence and will do likewise for unincorporated lands within any locally-adopted urban growth boundaries.,,,Policy AG,,
"Policy AG/LU-128: The County recognizes the urban limit line or Rural Urban Limit (RUL) established for the City of Napa (See Figure LU-4), and agrees that unincorporated land located within the RUL will not be further urbanized without annexation to the City. For purposes of this policy only, engaging in uses that are permitted in the applicable zoning district without the issuance of a use permit shall not be considered urbanizing. In all cases, subdividing property shall be deemed urbanizing for purposes of this policy.",the City of Napa,,"Policy AG, Rural Urban Limit",,
Policy AG/LU-129: [Reserved],,,Policy AG,,
"Policy AG/LU-130: The County recognizes the growth boundary for the City of American Canyon shown in Figure LU-5 and will support the City’s annexation of unincorporated land located within the boundary provided that: (a) voters of American Canyon approve a ballot measure establishing the boundary and requiring any amendments prior to 2030 to be approved by the voters; (b) the City provides water service within their service area without discriminating between in-city and out-of-city customers except to the extent that rates may differ in accordance with law; (c) for industrial properties north of the current (2007) city limits, property owners provide an easement to the County agreeing to keep the properties in industrial use in perpetuity, and the City and County agree to Napa County General Plan June 23, 2009 AG/LU–78","the City of American Canyon, the City and County, Napa County",American Canyon,Policy AG,,
"Policy AG/LU-131: The County does not support the creation of new cities or towns in Napa County via incorporation of urbanized or non-urbanized areas. Policy AG/LU-131.5: The County shall review on an annual basis those areas covered by this general plan that are subject to flooding as identified on adopted Federal Emergency Management Agency (FEMA) Flood Insurance Rate Mapping (FIRM) for Napa County (see Policy SAF-25 and Figure SAF-3), and ensure that this map and the County’s Flood Plain Management Ordinance inform discretionary land use and development decisions. June 23, 2009 Napa County General Plan AG/LU–79","Napa County, Napa County",,"Policy AG, AG, Federal Emergency Management Agency, FEMA, the County’s Flood Plain Management Ordinance, Napa County General Plan AG/LU–79",,
"Policy AG/LU-132: Measure Z (1996), Stanley Lane Pumpkin Patch. The General Plan was amended as follows: Subparagraph e) shall be added to Paragraph 3, Section F, Subparagraph 7) of the Land Use Element of the General Plan of Napa County which shall provide as follows: “e) The sale to the public of agricultural produce, fruits, vegetables, and Christmas trees, grown on or off premises, and items related thereto, as well as the recreational and educational use by children of animals, such as children’s pony rides and petting zoos, and construction of buildings to accommodate such sales and animals shall be permitted on any parcel designated as an agricultural produce stand combination district.” (See Policy AG/LU-20.)",Napa County,,"Policy AG, Paragraph 3, Section F, Subparagraph 7, the Land Use Element, See Policy AG/LU-20",,
"Policy AG/LU-133: Measure D (1998), Brix/Historic Restaurant: The General Plan is hereby amended to add a new subsection which shall provide as follows: “Existing restaurants qualifying under Policy AG/LU-45 of this General Plan that are currently located within a commercial zoning district shall be allowed to increase the number of seats accommodated within existing buildings and/or facilities on any parcel designated as a historic restaurant combination zoning district. Due to the small number of such restaurants, limited seating expansions within existing commercial buildings and facilities will not be detrimental to the Agriculture, Watershed or Open Space policies of the General Plan.” (See Policy AG/LU-45.)",,,"Policy AG, Brix/Historic Restaurant, Policy AG/LU-45, the Agriculture, See Policy AG/",,
"Policy AG/LU-134: Measure K (2002), Lakeview Boat Storage: The General Plan is amended to redesignate 4.7 acres of the following described 30.74-acre parcel from Agriculture, Watershed and Open Space to Rural Residential in the manner set forth on the Map attached as Exhibit “A” to Ordinance No. 02-01. Assessor’s Parcel Number 019-280-006 [with said 4.7-acre portion being located on the northeasterly side of Berryessa-Knoxville Road about one-half mile south of its intersection with Pope Canyon Road].",,,"Policy AG, Measure K (, Agriculture, Assessor’s Parcel, Berryessa-Knoxville Road",,
"Policy AG/LU-135: Measure L (2002), Farm Labor Camps: The Land Use Element of the Napa County General Plan is amended to read: “Minimum Parcel Size. June 23, 2009 Napa County General Plan AG/LU–85",,,"Policy AG, Measure L, Farm Labor Camps, the Napa County General Plan, Napa County General Plan AG",,
"Policy AG/LU-136: Measure K (2008), Stanley Lane Deli Ordinance: The Land Use Element of the Napa County General Plan is hereby amended to add a new subsection to read in full as follows: ‘A parcel which is zoned as an agricultural produce stand may be allowed to establish accessory delicatessen, outdoor barbeque and wine tasting uses.’ (See Policy AG/LU-45.) Napa County General Plan June 23, 2009 AG/LU–86",Napa County,,"Policy AG, Measure K, the Napa County General Plan, AG",,
"Policy CIR-1: Consistent with urban-centered growth policies in the Agricultural Preservation and Land Use Element, new residential and commercial development shall be concentrated within existing cities and towns and urbanized areas where sufficient densities can support transit services and development of pedestrian and bicycle facilities.",,,the Agricultural Preservation and Land Use Element,,
"Policy CIR-2: The County will work with the cities and town through the Napa County Transportation and Planning Agency to coordinate seamless transportation systems and improve the efficiency of the transportation system by coordinating the construction of planned roadway, bicycle, pedestrian, and other transportation systems.",,,the Napa County Transportation and Planning Agency,,
Policy CIR-3: The County will seek to concentrate multi-unit housing development in proximity to employment centers and services to increase the percentage of work trips that are by modes other than private drive-alone automobile.,,,,,
"Policy CIR-4: The County supports a coordinated approach to land use and circulation planning to promote a healthier community by encouraging walking, bicycling, and other forms of transportation which decrease motor vehicle use. Note to the Reader: Please see the Housing Element of this General Plan for information on how the County is encouraging the development of workforce housing so that persons employed in the county can avoid long commutes from other areas.",,,"the Reader: Please, the Housing Element",,
Policy CIR-5: Roadways outside the urbanized areas of the county shall reflect the rural character of the county.,,,,,
"Policy CIR-6: The county’s roadway improvements should minimize disruption to residential neighborhoods, communities, and agriculture.",,,,,
Policy CIR-7: Roadway improvements shall be designed to conform to existing landforms and shall include landscaping and/or other treatments to ensure that aesthetics and rural character are preserved.,,,,,
"Policy CIR-8: Roadway, culvert, and bridge improvements and repairs shall be designed and constructed to minimize fine-sediment and other pollutant delivery to waterways, to minimize increases in peak flows and flooding on adjacent properties, and where applicable to allow for fish passage and migration, consistent with all applicable codes and regulations.",,,,,
"Policy CIR-9: The County supports beautification programs for roadways in the unincorporated area. Roadway beautification shall be consistent with the character of the area in which the roadway is located and with other County policies related to preserving the character of June 3, 2008 Napa County General Plan CIR–9",,,Napa County General Plan,,
"Policy CIR-10: The County will work with NCTPA and seek to develop innovative approaches to providing transportation service to the county’s rural areas without the need for additional roadway lanes or other improvements that would detract from the visual and community character of these areas. Action Item CIR-10.1: County staff shall participate in the periodic updates of the Napa County Transportation and Planning Agency’s Strategic Transportation Plan (STP), and use that forum for consideration and development of innovative strategies related to the movement of people and services without increasing the use of private vehicles. The County shall seek input from experts in sustainability, smart growth, and land use planning in developing potential new strategies.",,,"NCTPA, the Napa County Transportation and Planning Agency’s",,
"Policy CIR-11: The Circulation Map contained in this Element shall show the following roadway types as comprising the planned roadway system. Local roadways need not be shown on the Circulation Map. The Circulation Map is a visual depiction of the County’s policy regarding the ultimate width and general location of roadways in the unincorporated area. Freeways: Four- to six-through-lane4 roadways characterized by limited access (e.g., only at interchanges) and controlled (e.g., ramp metering) access and designed for high speed (up to 70 mph) travel. Rural Throughway: Two- to six-through-lane roadways such as Highway 29 or Silverado Trail designed primarily for longer-distance travel between major centers of activity (such as incorporated jurisdictions or distant locations in the county) and built to accommodate this type of travel (fewer or more gentle curves, wider shoulders, limited driveway access, etc.). These roadways are often referred to as “arterials.” The six-lane configuration is to be applied only to the portion of Hwy 29 in the unincorporated area south of the Hwy 221/12 interchange. 4 Note: Each roadway will typically have the same number of lanes in each direction; a four-through-lane roadway will usually have two lanes in each direction. Left or right turn lanes or medians are not considered to be through lanes and are not included in the lane counts. Napa County General Plan June 3, 2008 CIR–10",,,"Hwy 29, Hwy 221/12, Napa County General Plan June 3, 2008",Silverado Trail,
"Policy CIR-12: Roadway improvements at entrances to the county shall be carefully considered, and additional lanes shall be added only where necessary for safety and only if the additional lanes will not exacerbate traffic congestion elsewhere in the county. Key entrances where capacity will generally not be increased include:  Hwy 128 from Yolo County  Hwy 29 from Lake County  Petrified Forest Road from Sonoma County  Hwy 121 from Sonoma County  Butts Canyon Road from Lake County Other entrances, as determined by the County, may also be given special consideration.","Yolo County, Lake County, Sonoma County, Sonoma County, Lake County",,,,
"Policy CIR-13: The County seeks to provide a roadway system that maintains current roadway capacities in most locations and is both safe and efficient in terms of providing local access. The following list of improvements, illustrated as the County’s ultimate road network in Figure CIR-1, has been supported by policy makers within the County and all five incorporated cities/town, and will be implemented over time by the County and other agencies to the extent that improvements continue to enjoy political support and funding becomes available: South of Napa  Widen Jamieson Canyon Road (Route 12) by adding one additional vehicular travel lane and room for a class II bike lane in each direction. Construct a safety median barrier in the centerline, straighten unsafe curves, lower the grade where possible, install turn lanes for safety and to allow for parcel access as appropriate, and allow a Ridge Trail crossing for pedestrian, equestrian, and bicycle use.  Construct an interchange at the intersection of State Route 12, Airport Boulevard, and State Route 29 within the most efficient footprint, including any necessary appurtenant facilities. June 3, 2008 Napa County General Plan CIR–13","Figure CIR-1, Ridge Trail, equestrian",,"State Route, State Route, Napa County General Plan CIR–13","Route 12, Airport Boulevard",
"Policy CIR-14: Recognizing limited funding for road in vehicle movement and speed. maintenance, the County shall prioritize All cars are able to clear maintenance activities which provide safe intersections in a single signal travel for the public. cycle.",,,,,
"Policy CIR-15: The County shall maintain and apply  Level of Service C – A reasonably consistent highway access standards steady, high-volume flow of regarding new driveways to minimize traffic, with some limitations on interference with through traffic while movement and speed, and providing adequate local access. The occasional backups on critical County shall also maintain and apply approaches. consistent standards (though not exceeding  Level of Service D – The level where public road standards) regarding road traffic nears an unstable flow. widths, turn lanes, and other improve- Intersections still function, but ments required in association with new short queues develop and cars development. Application of these may have to wait through one standards shall consider the level of cycle during short peaks. improvements on contiguous roads.  Level of Service E – Traffic charac- terized by slow movement and",,," Level of Service C,  Level of Service,  Level of Service E – Traffic",,
"Policy CIR-16: The County shall seek to maintain an frequent (although momentary) adequate level of service on roads and at stoppages. At peak traffic hours, intersections as follows. The desired level traffic frequently stops, there are of service shall be measured at peak hours long-standing queues, and on weekdays. intersections may be blocked by cars attempting to cross.  The County shall seek to maintain an  Level of Service F – LOS F is arterial Level of Service D or better on marked by “stop-and-go” traffic all county roadways, except where and stoppages of long duration. maintaining this desired level of service Vehicles at signalized inter- would require the installation of more sections usually have to wait travel lanes than shown on the through one or more signal Circulation Map. changes, and intersections may be blocked by the long queues. June 3, 2008 Napa County General Plan CIR–15",The County,," Level of Service F, Level of Service, Napa County General Plan CIR–15",,
"Policy CIR-17: Where traffic signals are within ¼ mile of each other, work with the agencies who have jurisdiction to synchronize the signals in order to reduce delay, improve traffic flow, and reduce energy consumption and air pollutant emissions.",,,,,
"Policy CIR-18: Traffic safety and adequate local access will be priorities on roadway segments and at signalized intersections where a Level of Service D or better cannot be achieved. Therefore, proposed capital improvements and development projects in these areas shall be evaluated to determine their effect on safety or local access. Projects that improve safety, improve local access, or alleviate congestion will be prioritized.",,,a Level of Service,,
"Policy CIR-19: Applicants proposing new discretionary development projects with the potential to significantly affect traffic operations shall be required to prepare a traffic analysis prior to consideration of their project by the County and shall be required to mitigate project impacts and to pay their fair share of countywide cumulative traffic improvements based on their contribution to the need for these improvements. Action Item CIR-19.1: In cooperation with the Napa County Transportation and Planning Agency, develop a countywide traffic impact fee to address cumulative (i.e., not project-specific) impacts associated with new employment. Fees shall be used to pay for the cost of network improvements listed in Policy CIR-13 as well as other transportation improvements such as transit.",Policy,,the Napa County Transportation and Planning Agency,,
"Policy CIR-20: The County shall seek to discourage increases in commuter traffic passing through the county on all roadways except I-80 by providing a balanced land use pattern, by designing county roadways to meet local rather than regional needs, and by supporting improvements to alternative facilities outside the County (e.g., State Route 37). Objective CIR-1: By 2030, reduce the growth rate for the number of pass-through trips (those using Napa County roadways to access starting points and destinations outside the county) to no more than the growth rate for trips with start and/or end points in the county.",Napa County,,State Route,,
"Policy CIR-21: The County shall support provision of alternate (parallel) routes for local residents to avoid traffic congestion on major thoroughfares. Napa County General Plan June 3, 2008 CIR–16",,,"Napa County General Plan June 3, 2008 CIR–16",,
"Policy CIR-22: While the design of roadways shall be based on meeting local needs, the County shall also seek to meet the specific needs of senior citizens and tourist drivers, such as signage and intersections, to make driving for all users safer and easier. Action Item CIR-22.1: The County shall work with the incorporated cities and town, the Napa County Transportation and Planning Agency, and Caltrans to develop a coordinated approach to roadway design to enhance driver and pedestrian safety, particularly for children and senior citizens.",the County,,"the Napa County Transportation and Planning Agency, Caltrans",,
Policy CIR-23: New uses shall provide adequate parking to meet their anticipated parking demand and shall not provide excess parking that could stimulate unnecessary vehicle trips or commercial activity exceeding the site’s capacity. The concept of shared parking may be considered.,,,,,
Policy CIR-24: Parking lost as the result of roadway improvement projects shall be replaced to ensure that County Zoning Code parking standards are maintained.,,,,,
"Policy CIR-25: Preserve rail corridors and the navigable sections of the Napa River as regional transportation assets, encouraging and not precluding their future use for recreational travel as well as for the movement of passengers and goods.",,the Napa River,,,
"Policy CIR-26: Increase the attractiveness and use of energy-efficient forms of transportation such as public transit, walking, and bicycling through a variety of means, including promoting transit-oriented development in existing municipalities and urbanized areas and the use of transit by visitors to Napa County. Action Item CIR-26.1: The County will work with the Napa County Transportation and Planning Agency to conduct regular reviews of public transit use and opportunities for its expansion in Napa County. Note to the Reader: Increasing the use of energy-efficient forms of transportation is closely related to the goals and policies contained in the Conservation Element to reduce the emission of air pollutants and greenhouse gases. Objective CIR-2: Work with the Napa County Transportation and Planning Agency and incorporated jurisdictions in Napa County to reduce the percentage of work trips that are by private, single-occupant vehicles by 2030 such that Napa County’s percentage decreases to 50 percent. This objective may be accomplished by increasing the percentage of trips by bicycle, walking, transit, and/or carpool, and by increasing non-traditional work schedules and work practices (e.g., working at home). Action Item CIR-26.2: The County shall establish targets for interim years to enable the County to monitor progress towards its objective of reducing the percentage of work trips that are by private, single occupant vehicles to 50%. June 3, 2008 Napa County General Plan CIR–17","Napa County, Napa County, Napa County, Napa County’s",,"the Napa County Transportation and Planning Agency, the Napa County Transportation and Planning Agency, Napa County General Plan CIR–17",,
"Policy CIR-27: Transportation services shall address the needs of non-drivers and those without cars living in rural areas. Services may include community-focused and private transit and paratransit services. Objective CIR-3: The County shall work with Caltrans and other agencies to construct or designate approximately 40 miles of additional bicycle lanes in Napa County by 2030, consistent with priorities identified in the Napa Countywide Bicycle Master Plan. Note to the Reader: Please see the Recreation and Open Space Element for additional policies and objectives related to off- street trails, including prohibitions on the use of eminent domain for recreational facilities.",Napa County,,"Caltrans, the Reader: Please",,
"Policy CIR-28: The County supports programs to reduce single-occupant vehicle use and encourage carpooling, transit use, and alternative modes such bicycle, walking, and telecommuting, and shall seek to maintain total trips in the County using travel modes other than private vehicles (transit, walking, bicycling, public transit, etc,) at least at the 2006 levels. Action Item CIR-28.1: Work with major employers and the Napa County Transportation and Planning Agency to offer incentives for carpooling and the use of cost-efficient ground transportation alternatives to the private automobile. Action Item CIR-28.2: Adopt hours of operation/schedules for County meetings (e.g., Planning Commission and Board of Supervisors) which are coordinated with public transit availability in order to make it easier for residents to use transit when doing business with the County. The County shall encourage schools and other public agencies to do the same.",,,"the Napa County Transportation and Planning Agency, Planning Commission, Board of Supervisors",,
"Policy CIR-29: As a major employer, the County of Napa shall demonstrate leadership in the implementation of programs encouraging the use of alternative modes of transportation by its employees, as well as the use of alternative fuels. Example programs may include:  Preferential carpool parking and other ridesharing incentives;  Flexible working hours or telecommuting where consistent with job duties and customer service needs;  A purchasing program that favors hybrid, electric, or other non-gasoline vehicles;  Assisting in the development of demonstration projects for alternative fuel technologies such as ethanol, hydrogen, and electricity;  Secure bicycle parking; and  Transit incentives.",the County of Napa,,,,
"Policy CIR-30: The County shall encourage the use of public transportation by tourists and visitors and will work with wineries to encourage the use of these options and the development of private mass transit. Napa County General Plan June 3, 2008 CIR–18",,,Napa County General Plan,,
"Policy CIR-31: The County shall work with the Napa County Transportation and Planning Agency and other transit agencies in adjoining counties to develop effective connections between public transit in Napa County and regional transportation networks (BART, Baylink ferry, airports, etc.) via rail, bus, bicycle, and other means to serve the needs of local residents, commuters, and visitors.","Napa County, Baylink",,"the Napa County Transportation and Planning Agency, BART",,
"Policy CIR-32: All developments along fixed transit routes shall provide appropriate amenities designed to encourage carpooling, bicycle, and transit use. Typical features could include public bus turnouts/access located in coordination with the Napa County Transportation and Planning Agency, bicycle lockers, and carpool/vanpool parking. Action Item CIR-32.1: Update the County Zoning Code to include requirements and standards related to carpooling, bicycling, and transit amenities in development projects.",,,the Napa County Transportation and Planning Agency,,
Policy CIR-33: Pedestrian and bicycle access shall be integrated into all parking lots where feasible and appropriate and considered in the evaluation of development proposals and public projects.,,,,,
"Policy CIR-34: Where they are not needed for other transportation purposes and where such use would implement the Napa Countywide Bicycle Plan or other County-adopted master plan, newly abandoned rail rights-of-way shall be used for alternative uses such as public transit routes, bicycle paths, or pedestrian/hiking routes, provided that they are compatible with adjacent uses and sufficient funding is available for right-of-way acquisition, construction, and long-term maintenance.",,,,,
"Policy CIR-35: The County shall work with the Napa County Transportation and Planning Agency, the incorporated cities and town, other agencies, and development projects to work toward implementation of the Napa Countywide Master Bicycle Plan.",,,the Napa County Transportation and Planning Agency,,
"Policy CIR-36: The needs of pedestrians and bicyclists shall be routinely considered and, where possible, accommodated in all roadway construction and renovation projects.",,,,,
"Policy CIR-37: Where sufficient right-of-way is available, bicycle lanes shall be added to county roadways when repaving or upgrading of the roadway occurs, provided that the bicycle facility would implement the Countywide Bicycle Master Plan. Additional paving shall be provided only where the facility meets the “Regional Assessment System” adopted by the Napa County Transportation and Planning Agency. The County shall encourage Caltrans to follow these same guidelines on state highways in Napa County.",Napa County,,"the “Regional Assessment System, the Napa County Transportation and Planning Agency, Caltrans",,
Policy CIR-38: Maintain Napa County Airport as a general aviation facility and avoid land use conflicts via land use compatibility planning and by ensuring appropriate reviews of land use decisions by the Airport Land Use Commission.,,,the Airport Land Use Commission,,
Policy CIR-39: The County supports runway and other technological improvements to Napa County Airport to improve its safety and usefulness as a civil aviation center.,Napa County Airport,,,,
"Policy CIR-40: The County supports the preservation of Angwin Airport (Parrett Field) for general aviation. June 3, 2008 Napa County General Plan CIR–19",,,Napa County General Plan CIR–19,"Angwin Airport, Parrett Field",
"Policy CIR-41: The County shall review this Circulation Element periodically to ensure that it embraces future technological innovations that improve vehicle emissions, transportation options, and airport operations. Napa County General Plan June 3, 2008 CIR–20",,,"Napa County General Plan June 3, 2008 CIR–20",,
Policy CC-1: The County will retain the character and natural beauty of Napa County through the preservation of open space.,Napa County,,,,
Policy CC-2: New wineries and other uses requiring the issuance of a Use Permit should be designed to convey their permanence and attractiveness.,,,,,
"Policy CC-3: Signs shall be used primarily to provide necessary information and business identification rather than the advertisement of goods and services. Sign size limits and locational requirements shall be established to avoid over-proliferation of signs. Although the sign size may be limited, lettering should be large and easy to read. June 3, 2008 Napa County General Plan CC–15",,,"CC-3, Napa County General Plan",,
"Policy CC-4: Consistent with current regulations regarding road setbacks and fences, the County shall preserve the existing significant natural features by requiring all development to retain the visually open, rural character of the County and by allowing solid sound walls only in unique circumstances and where acceptable noise levels are exceeded.",,,,,
"Policy CC-5: Recognizing that vineyards are an accepted and attractive visual feature of Napa County, but that visual changes can cause public concern, the County shall require the retention of trees in strategic locations when approving conversion of existing forested land to vineyards in order to retain landscape characteristics of the site when viewed from public roadways and shall require the retention of trees to screen non-agricultural activities and other proposed developments.",Napa County,,,,
"Policy CC-6: The grading of building sites, vineyards, and other uses shall incorporate techniques to retain as much as possible a natural landform appearance. Examples include:  The overall shape, height, and grade of any cut or fill slope shall be designed to simulate the existing natural contours and scale of the natural terrain of the site.  The angle of the graded slope shall be gradually adjusted to the angle of the natural terrain.  Sharp, angular forms shall be rounded and smoothed to blend with the natural terrain.",,,Sharp,,
Policy CC-7: The County seeks to strengthen the arts community and encourages incorporation of art into the design of new public buildings.,,,,,
"Policy CC-8: Scenic roadways which shall be subject to the Viewshed Protection Program are those shown in Figure CC-3, or designated by the Board of Supervisors in the future.",,,"the Viewshed Protection Program, CC-3, the Board of Supervisors",,
"Policy CC-9: The County may consider pursuing formal scenic highway designation by the State of California for some roadways, provided that in each case the benefits of the designation are found to outweigh any costs.",the State of California,,,,
